,percent_change
2005-09-01,95.09727626459143
2005-09-02,63.01476301476302
2005-09-05,83.46333853354135
2005-09-06,10.374414976599065
2005-09-07,96.03729603729604
2005-09-08,45.27131782945737
2005-09-09,23.17262830482115
2005-09-12,60.32388663967612
2005-09-13,96.55448717948718
2005-09-14,70.0
2005-09-15,49.515347334410336
2005-09-16,41.854838709677416
2005-09-19,83.11258278145695
2005-09-20,30.51839464882943
2005-09-21,19.12613355317395
2005-09-22,8.313155770782888
2005-09-23,21.658615136876005
2005-09-26,64.61412151067324
2005-09-27,16.065573770491802
2005-10-21,67.08754208754209
2005-10-24,54.86649440137812
2005-10-25,13.33907056798623
2005-10-26,9.682947729220222
2005-10-27,36.66947014297729
2005-10-28,13.85390428211587
2005-10-31,70.46808510638299
2005-11-01,28.800675675675674
2005-11-02,91.86923721709975
2005-11-03,22.02970297029703
2005-11-04,69.60461285008238
2005-11-07,68.1704260651629
2005-11-08,72.51461988304094
2005-11-09,28.85738115095913
2005-11-10,8.963815789473683
2005-11-11,61.86161449752883
2005-11-14,61.75732217573222
2005-11-15,27.600671140939596
2005-11-16,69.10774410774411
2005-11-17,40.033361134278564
2005-11-18,97.17607973421927
2005-11-21,58.728813559322035
2005-11-22,7.724957555178268
2005-11-23,77.27272727272727
2005-11-24,56.75227837613919
2005-11-25,45.38590604026846
2005-11-28,34.32963279248506
2005-11-29,13.86986301369863
2005-11-30,51.01351351351351
2005-12-01,34.22594142259414
2005-12-02,16.329966329966332
2005-12-05,6.966864910790145
2005-12-06,63.13559322033898
2005-12-07,81.2870448772227
2005-12-08,32.69230769230769
2005-12-09,91.41414141414141
2005-12-12,67.15017064846417
2005-12-13,36.34826711749788
2005-12-14,79.76291278577476
2005-12-15,23.14814814814815
2005-12-16,72.58883248730965
2005-12-19,46.64926022628372
2005-12-20,41.34029590948651
2005-12-21,17.155172413793103
2005-12-22,56.835769561478934
2005-12-23,87.46666666666667
2005-12-26,75.3339269813001
2005-12-27,38.19139596136962
2005-12-28,48.639157155399474
2005-12-29,73.57019064124783
2005-12-30,17.04745166959578
2006-01-04,85.37444933920705
2006-01-05,83.17677198975235
2006-01-06,71.19932432432432
2006-01-09,82.5234441602728
2006-01-10,49.82876712328767
2006-01-11,27.938671209540033
2006-01-12,89.47368421052632
2006-01-13,50.0
2006-01-16,17.235345581802274
2006-01-17,43.657042869641295
2006-01-18,92.58289703315882
2006-01-19,63.49480968858131
2006-01-20,37.65217391304348
2006-01-23,50.13648771610555
2006-01-24,38.06104129263914
2006-01-25,36.120996441281136
2006-02-06,94.02460456942003
2006-02-07,49.826086956521735
2006-02-08,64.37880104257168
2006-02-09,20.452567449956486
2006-02-10,75.04347826086956
2006-02-13,42.16549295774648
2006-02-14,64.05570060922543
2006-02-15,39.34142114384749
2006-02-16,11.311053984575835
2006-02-17,27.2108843537415
2006-02-20,36.315323294951284
2006-02-21,87.5
2006-02-22,40.47410008779631
2006-02-23,48.395490026019075
2006-02-24,64.65968586387434
2006-02-27,36.74588665447898
2006-02-28,43.596730245231605
2006-03-01,69.6588868940754
2006-03-02,11.091393078970718
2006-03-03,44.46412754650133
2006-03-06,34.82224247948952
2006-03-07,6.953339432753888
2006-03-08,39.23705722070845
2006-03-09,33.659839715048975
2006-03-10,53.30948121645797
2006-03-13,72.3034734917733
2006-03-14,44.799270072992705
2006-03-15,80.61594202898551
2006-03-16,41.14490161001789
2006-03-17,34.375
2006-03-20,84.27382053654024
2006-03-21,51.05990783410138
2006-03-22,70.90239410681399
2006-03-23,66.14678899082568
2006-03-24,23.44322344322344
2006-03-27,69.72301814708692
2006-03-28,59.238095238095234
2006-03-29,46.254681647940075
2006-03-30,20.930232558139537
2006-03-31,55.25581395348838
2006-04-03,83.5820895522388
2006-04-04,69.0587138863001
2006-04-05,62.48839368616528
2006-04-06,39.85307621671258
2006-04-07,65.90493601462522
2006-04-10,89.2018779342723
2006-04-11,42.988084326306144
2006-04-12,44.48495897903373
2006-04-13,12.972972972972974
2006-04-14,91.8991899189919
2006-04-17,55.46296296296296
2006-04-18,37.05772811918063
2006-04-19,33.45521023765997
2006-04-20,26.383763837638373
2006-04-21,58.264081255771
2006-04-24,25.91206735266604
2006-04-25,43.627906976744185
2006-04-26,72.1964782205746
2006-04-27,49.81718464351005
2006-04-28,54.734848484848484
2006-05-08,94.180407371484
2006-05-09,90.93484419263456
2006-05-10,68.796992481203
2006-05-11,34.10138248847927
2006-05-12,91.5719696969697
2006-05-15,93.95393474088291
2006-05-16,24.150943396226417
2006-05-17,74.40366972477064
2006-05-18,59.83224603914259
2006-05-19,86.27450980392157
2006-05-22,83.69876072449952
2006-05-23,13.370998116760829
2006-05-24,22.702205882352942
2006-05-25,74.42502299908004
2006-05-26,88.5576923076923
2006-06-12,52.12285456187895
2006-06-13,59.245960502692995
2006-06-14,38.55098389982111
2006-06-16,93.81255686988172
2006-06-19,68.6184812442818
2006-06-20,59.50864422202001
2006-06-21,31.84257602862254
2006-06-22,37.82569631626235
2006-06-23,72.53649635036497
2006-06-27,48.61111111111111
2006-06-28,44.50651769087523
2006-06-29,92.5
2006-06-30,37.4031007751938
2006-07-03,82.21198156682028
2006-07-04,32.2463768115942
2006-07-05,31.15487914055506
2006-07-06,95.3941541186891
2006-07-07,42.0017873100983
2006-07-19,16.420503909643788
2006-07-20,71.08225108225108
2006-07-21,62.33653007846556
2006-07-24,42.717584369449376
2006-07-25,80.19281332164768
2006-07-26,49.73867595818815
2006-07-27,20.120898100172713
2006-07-28,27.374784110535405
2006-07-31,6.869565217391305
2006-08-01,23.711340206185564
2006-08-02,42.39316239316239
2006-08-03,45.840407470288625
2006-08-04,8.828522920203735
2006-08-07,16.595744680851062
2006-08-08,96.61016949152543
2006-08-09,41.11675126903553
2006-08-10,89.75444538526672
2006-08-11,53.074978938500415
2006-08-14,9.083191850594227
2006-08-15,92.0608108108108
2006-08-16,88.53288364249579
2006-08-17,24.086378737541526
2006-08-18,26.755852842809364
2006-08-21,48.27875734676742
2006-08-22,70.7949790794979
2006-08-23,32.0364238410596
2006-08-24,70.2880658436214
2006-08-25,47.524752475247524
2006-08-28,95.23809523809523
2006-08-29,42.17067108533554
2006-08-30,61.97183098591549
2006-08-31,54.958677685950406
2006-09-01,16.378600823045268
2006-09-04,93.09484193011647
2006-09-05,46.0840890354493
2006-09-06,55.55555555555556
2006-09-07,16.461916461916463
2006-09-08,48.349834983498354
2006-09-11,55.436573311367376
2006-09-12,57.34208367514356
2006-09-13,19.309778142974526
2006-09-14,41.13360323886639
2006-09-15,79.96702390766694
2006-09-18,87.55118755118755
2006-09-19,41.58496732026144
2006-09-20,46.536267318663405
2006-09-21,51.74654752233956
2006-09-22,24.471544715447155
2006-09-25,42.786885245901644
2006-09-26,37.848932676518885
2006-09-27,71.28953771289538
2006-09-28,62.956945572705116
2006-09-29,71.30081300813008
2006-10-09,83.7152209492635
2006-10-13,54.87012987012987
2006-10-16,39.59349593495935
2006-10-17,39.371980676328505
2006-10-18,79.5673076923077
2006-10-19,47.71084337349398
2006-10-20,26.720647773279353
2006-10-23,10.20242914979757
2006-10-24,95.40692989524577
2006-10-25,30.22508038585209
2006-10-26,33.01282051282051
2006-10-27,21.069433359936156
2006-10-30,48.10941271118263
2006-10-31,71.80722891566265
2006-11-01,51.51757188498402
2006-11-02,37.55980861244019
2006-11-03,56.02553870710295
2006-11-06,32.908366533864545
2006-11-07,26.097366320830005
2006-11-08,37.77064955894146
2006-11-09,78.52028639618138
2006-11-10,9.6
2006-11-13,10.048231511254018
2006-11-14,75.16025641025641
2006-11-15,88.18327974276528
2006-11-16,17.845659163987136
2006-11-17,73.46123101518785
2006-11-20,34.40773569701853
2006-11-21,56.17529880478087
2006-11-22,74.48
2006-11-23,56.65338645418326
2006-11-24,70.44728434504792
2006-11-27,85.73717948717949
2006-11-28,48.242811501597444
2006-11-29,55.891719745222936
2006-11-30,83.26724821570183
2006-12-01,42.42664551942902
2006-12-04,84.51151707704527
2006-12-05,57.484076433121025
2006-12-06,23.98406374501992
2006-12-07,30.36565977742448
2006-12-08,10.585404971932638
2006-12-11,96.15384615384616
2006-12-12,39.29712460063898
2006-12-13,46.55035685963521
2006-12-14,77.77777777777779
2006-12-15,64.63512429831596
2006-12-18,66.5587044534413
2006-12-19,47.43178170144463
2006-12-20,72.72727272727273
2006-12-21,30.750605326876514
2006-12-22,36.407766990291265
2006-12-25,61.42506142506142
2006-12-26,21.95318805488297
2006-12-27,54.65489566613162
2006-12-28,16.543816543816543
2006-12-29,76.58022690437602
2007-01-04,44.34426229508197
2007-01-05,86.48208469055375
2007-01-08,96.54340836012861
2007-01-09,83.98406374501992
2007-01-10,88.2120253164557
2007-01-11,56.28458498023715
2007-01-12,16.203335980937254
