updateDate,code,code_name,industry,industryClassification
2021-11-15,sh.600186,莲花健康,食品饮料,申万一级行业
2021-11-15,sh.600187,国中水务,公用事业,申万一级行业
2021-11-15,sh.600188,兖州煤业,采掘,申万一级行业
2021-11-15,sh.600189,泉阳泉,食品饮料,申万一级行业
2021-11-15,sh.600190,锦州港,交通运输,申万一级行业
2021-11-15,sh.600191,*ST华资,农林牧渔,申万一级行业
2021-11-15,sh.600192,长城电工,电气设备,申万一级行业
2021-11-15,sh.600193,创兴资源,建筑装饰,申万一级行业
2021-11-15,sh.600195,中牧股份,农林牧渔,申万一级行业
2021-11-15,sh.600196,复星医药,医药生物,申万一级行业
2021-11-15,sh.600197,伊力特,食品饮料,申万一级行业
2021-11-15,sh.600198,*ST大唐,电子,申万一级行业
2021-11-15,sh.600199,金种子酒,食品饮料,申万一级行业
2021-11-15,sh.600200,江苏吴中,医药生物,申万一级行业
2021-11-15,sh.600201,生物股份,农林牧渔,申万一级行业
2021-11-15,sh.600202,哈空调,电气设备,申万一级行业
2021-11-15,sh.600203,福日电子,电子,申万一级行业
2021-11-15,sh.600205,S山东铝,,申万一级行业
2021-11-15,sh.600206,有研新材,有色金属,申万一级行业
2021-11-15,sh.600207,安彩高科,电气设备,申万一级行业
2021-11-15,sh.600208,新湖中宝,房地产,申万一级行业
2021-11-15,sh.600209,*ST罗顿,建筑装饰,申万一级行业
2021-11-15,sh.600210,紫江企业,轻工制造,申万一级行业
2021-11-15,sh.600211,西藏药业,医药生物,申万一级行业
2021-11-15,sh.600212,江泉实业,综合,申万一级行业
2021-11-15,sh.600213,亚星客车,汽车,申万一级行业
2021-11-15,sh.600215,长春经开,房地产,申万一级行业
2021-11-15,sh.600216,浙江医药,医药生物,申万一级行业
2021-11-15,sh.600217,中再资环,公用事业,申万一级行业
2021-11-15,sh.600218,全柴动力,机械设备,申万一级行业
2021-11-15,sh.600219,南山铝业,有色金属,申万一级行业
2021-11-15,sh.600220,江苏阳光,纺织服装,申万一级行业
2021-11-15,sh.600221,*ST海航,交通运输,申万一级行业
2021-11-15,sh.600222,太龙药业,医药生物,申万一级行业
2021-11-15,sh.600223,鲁商发展,房地产,申万一级行业
2021-11-15,sh.600225,*ST松江,房地产,申万一级行业
2021-11-15,sh.600226,ST瀚叶,传媒,申万一级行业
2021-11-15,sh.600227,圣济堂,医药生物,申万一级行业
2021-11-15,sh.600228,返利科技,传媒,申万一级行业
2021-11-15,sh.600229,城市传媒,传媒,申万一级行业
2021-11-15,sh.600230,沧州大化,化工,申万一级行业
2021-11-15,sh.600231,凌钢股份,钢铁,申万一级行业
2021-11-15,sh.600232,金鹰股份,纺织服装,申万一级行业
2021-11-15,sh.600233,圆通速递,交通运输,申万一级行业
2021-11-15,sh.600234,科新发展,综合,申万一级行业
2021-11-15,sh.600235,民丰特纸,轻工制造,申万一级行业
2021-11-15,sh.600236,桂冠电力,公用事业,申万一级行业
2021-11-15,sh.600237,铜峰电子,电子,申万一级行业
2021-11-15,sh.600238,海南椰岛,食品饮料,申万一级行业
2021-11-15,sh.600239,*ST云城,房地产,申万一级行业
2021-11-15,sh.600240,退市华业,,申万一级行业
2021-11-15,sh.600241,ST时万,电气设备,申万一级行业
2021-11-15,sh.600242,ST中昌,传媒,申万一级行业
2021-11-15,sh.600243,青海华鼎,机械设备,申万一级行业
2021-11-15,sh.600246,万通发展,房地产,申万一级行业
2021-11-15,sh.600247,*ST成城,,申万一级行业
2021-11-15,sh.600248,陕西建工,建筑装饰,申万一级行业
2021-11-15,sh.600249,两面针,化工,申万一级行业
2021-11-15,sh.600250,南纺股份,商业贸易,申万一级行业
2021-11-15,sh.600251,冠农股份,农林牧渔,申万一级行业
2021-11-15,sh.600252,中恒集团,医药生物,申万一级行业
2021-11-15,sh.600253,天方药业,,申万一级行业
2021-11-15,sh.600255,鑫科材料,有色金属,申万一级行业
2021-11-15,sh.600256,广汇能源,化工,申万一级行业
2021-11-15,sh.600257,大湖股份,农林牧渔,申万一级行业
2021-11-15,sh.600258,首旅酒店,休闲服务,申万一级行业
2021-11-15,sh.600259,广晟有色,有色金属,申万一级行业
2021-11-15,sh.600260,ST凯乐,通信,申万一级行业
2021-11-15,sh.600261,阳光照明,电子,申万一级行业
2021-11-15,sh.600262,北方股份,机械设备,申万一级行业
2021-11-15,sh.600263,路桥建设,,申万一级行业
2021-11-15,sh.600265,*ST景谷,农林牧渔,申万一级行业
2021-11-15,sh.600266,城建发展,房地产,申万一级行业
2021-11-15,sh.600267,海正药业,医药生物,申万一级行业
2021-11-15,sh.600268,国电南自,电气设备,申万一级行业
2021-11-15,sh.600269,赣粤高速,交通运输,申万一级行业
2021-11-15,sh.600270,外运发展,,申万一级行业
2021-11-15,sh.600271,航天信息,计算机,申万一级行业
2021-11-15,sh.600272,开开实业,医药生物,申万一级行业
2021-11-15,sh.600273,嘉化能源,化工,申万一级行业
2021-11-15,sh.600275,*ST昌鱼,农林牧渔,申万一级行业
2021-11-15,sh.600276,恒瑞医药,医药生物,申万一级行业
2021-11-15,sh.600277,亿利洁能,化工,申万一级行业
2021-11-15,sh.600278,东方创业,商业贸易,申万一级行业
2021-11-15,sh.600279,重庆港九,交通运输,申万一级行业
2021-11-15,sh.600280,中央商场,商业贸易,申万一级行业
2021-11-15,sh.600281,华阳新材,综合,申万一级行业
2021-11-15,sh.600282,南钢股份,钢铁,申万一级行业
2021-11-15,sh.600283,钱江水利,公用事业,申万一级行业
2021-11-15,sh.600284,浦东建设,建筑装饰,申万一级行业
2021-11-15,sh.600285,羚锐制药,医药生物,申万一级行业
2021-11-15,sh.600286,S*ST国瓷,,申万一级行业
2021-11-15,sh.600287,江苏舜天,商业贸易,申万一级行业
2021-11-15,sh.600288,大恒科技,电子,申万一级行业
2021-11-15,sh.600289,ST信通,通信,申万一级行业
2021-11-15,sh.600290,ST华仪,电气设备,申万一级行业
2021-11-15,sh.600291,*ST西水,非银金融,申万一级行业
2021-11-15,sh.600292,远达环保,公用事业,申万一级行业
2021-11-15,sh.600293,三峡新材,通信,申万一级行业
2021-11-15,sh.600295,鄂尔多斯,采掘,申万一级行业
2021-11-15,sh.600296,S兰铝,,申万一级行业
2021-11-15,sh.600297,广汇汽车,汽车,申万一级行业
2021-11-15,sh.600298,安琪酵母,农林牧渔,申万一级行业
2021-11-15,sh.600299,安迪苏,化工,申万一级行业
2021-11-15,sh.600300,ST维维,食品饮料,申万一级行业
2021-11-15,sh.600301,*ST南化,商业贸易,申万一级行业
2021-11-15,sh.600302,标准股份,机械设备,申万一级行业
2021-11-15,sh.600303,曙光股份,汽车,申万一级行业
2021-11-15,sh.600305,恒顺醋业,食品饮料,申万一级行业
2021-11-15,sh.600306,*ST商城,商业贸易,申万一级行业
2021-11-15,sh.600307,酒钢宏兴,钢铁,申万一级行业
2021-11-15,sh.600308,华泰股份,轻工制造,申万一级行业
2021-11-15,sh.600309,万华化学,化工,申万一级行业
2021-11-15,sh.600310,桂东电力,公用事业,申万一级行业
2021-11-15,sh.600311,ST荣华,有色金属,申万一级行业
2021-11-15,sh.600312,平高电气,电气设备,申万一级行业
2021-11-15,sh.600313,农发种业,农林牧渔,申万一级行业
2021-11-15,sh.600315,上海家化,化工,申万一级行业
2021-11-15,sh.600316,洪都航空,国防军工,申万一级行业
2021-11-15,sh.600317,营口港,,申万一级行业
2021-11-15,sh.600318,新力金融,非银金融,申万一级行业
2021-11-15,sh.600319,*ST亚星,化工,申万一级行业
2021-11-15,sh.600320,振华重工,机械设备,申万一级行业
2021-11-15,sh.600321,正源股份,建筑材料,申万一级行业
2021-11-15,sh.600322,天房发展,房地产,申万一级行业
2021-11-15,sh.600323,瀚蓝环境,公用事业,申万一级行业
2021-11-15,sh.600325,华发股份,房地产,申万一级行业
2021-11-15,sh.600326,西藏天路,建筑材料,申万一级行业
2021-11-15,sh.600327,大东方,汽车,申万一级行业
2021-11-15,sh.600328,中盐化工,化工,申万一级行业
2021-11-15,sh.600329,中新药业,医药生物,申万一级行业
2021-11-15,sh.600330,天通股份,有色金属,申万一级行业
2021-11-15,sh.600331,宏达股份,有色金属,申万一级行业
2021-11-15,sh.600332,白云山,医药生物,申万一级行业
2021-11-15,sh.600333,长春燃气,公用事业,申万一级行业
2021-11-15,sh.600335,国机汽车,汽车,申万一级行业
2021-11-15,sh.600336,澳柯玛,家用电器,申万一级行业
2021-11-15,sh.600337,美克家居,轻工制造,申万一级行业
2021-11-15,sh.600338,西藏珠峰,有色金属,申万一级行业
2021-11-15,sh.600339,中油工程,采掘,申万一级行业
2021-11-15,sh.600340,华夏幸福,房地产,申万一级行业
2021-11-15,sh.600343,航天动力,国防军工,申万一级行业
2021-11-15,sh.600345,长江通信,通信,申万一级行业
2021-11-15,sh.600346,恒力石化,化工,申万一级行业
2021-11-15,sh.600348,华阳股份,采掘,申万一级行业
2021-11-15,sh.600350,山东高速,交通运输,申万一级行业
2021-11-15,sh.600351,亚宝药业,医药生物,申万一级行业
2021-11-15,sh.600352,浙江龙盛,化工,申万一级行业
2021-11-15,sh.600353,旭光电子,电子,申万一级行业
2021-11-15,sh.600354,敦煌种业,农林牧渔,申万一级行业
2021-11-15,sh.600355,精伦电子,通信,申万一级行业
2021-11-15,sh.600356,恒丰纸业,轻工制造,申万一级行业
2021-11-15,sh.600357,承德钒钛,,申万一级行业
2021-11-15,sh.600358,国旅联合,休闲服务,申万一级行业
2021-11-15,sh.600359,新农开发,农林牧渔,申万一级行业
2021-11-15,sh.600360,华微电子,电子,申万一级行业
2021-11-15,sh.600361,华联综超,商业贸易,申万一级行业
2021-11-15,sh.600362,江西铜业,有色金属,申万一级行业
2021-11-15,sh.600363,联创光电,电子,申万一级行业
2021-11-15,sh.600365,ST通葡,食品饮料,申万一级行业
2021-11-15,sh.600366,宁波韵升,有色金属,申万一级行业
2021-11-15,sh.600367,红星发展,化工,申万一级行业
2021-11-15,sh.600368,五洲交通,交通运输,申万一级行业
2021-11-15,sh.600369,西南证券,非银金融,申万一级行业
2021-11-15,sh.600370,三房巷,纺织服装,申万一级行业
2021-11-15,sh.600371,万向德农,农林牧渔,申万一级行业
2021-11-15,sh.600372,中航电子,国防军工,申万一级行业
2021-11-15,sh.600373,中文传媒,传媒,申万一级行业
2021-11-15,sh.600375,汉马科技,机械设备,申万一级行业
2021-11-15,sh.600376,首开股份,房地产,申万一级行业
2021-11-15,sh.600377,宁沪高速,交通运输,申万一级行业
2021-11-15,sh.600378,昊华科技,化工,申万一级行业
2021-11-15,sh.600379,宝光股份,电气设备,申万一级行业
2021-11-15,sh.600380,健康元,医药生物,申万一级行业
2021-11-15,sh.600381,青海春天,传媒,申万一级行业
2021-11-15,sh.600382,*ST广珠,综合,申万一级行业
2021-11-15,sh.600383,金地集团,房地产,申万一级行业
2021-11-15,sh.600385,*ST金泰,有色金属,申万一级行业
2021-11-15,sh.600386,北巴传媒,传媒,申万一级行业
